sep=,
file,line,type,original,translated
"disguise.txt",103,"mes","^000000]",""
"disguise.txt",111,"mes","How may I be of assistance?",""
"disguise.txt",112,"select","Nothing, just passing through.",""
"disguise.txt",115,"mes","This event is quite simple.",""
"disguise.txt",116,"mes","At the start of the event, I will",""
"disguise.txt",117,"mes","disguise myself as a random",""
"disguise.txt",118,"mes","monster. You have to shout",""
"disguise.txt",119,"mes","that monster's name out loud.",""
"disguise.txt",121,"mes","If you are correct, you will receive",""
"disguise.txt",122,"mes","a prize. If not, keep trying!",""
"disguise.txt",123,"mes","That's all that there is to this event.",""
"disguise.txt",166,"announce","The Disguise Event will begin in 3 minutes.",""
"disguise.txt",167,"announce","The Event is being held in Prontera.",""
"disguise.txt",180,"npctalk","Disguise Event : You took too long to guess what I was. Please wait 10 seconds while I disguise again.",""
"disguise.txt",190,"announce","The Disguise Event will begin in 2 minutes.",""
"disguise.txt",191,"announce","The Event is being held in Prontera.",""
"disguise.txt",195,"announce","The Disguise Event will begin 1 minute.",""
"disguise.txt",196,"announce","The Event is being held in Prontera.",""
"disguise.txt",200,"announce","The Disguise Event has begun!",""
"disguise.txt",201,"announce","The Event is being held in Prontera.",""
"disguise.txt",228,"dispbottom","Someone has already won this round.",""
"disguise.txt",236,"announce"," is correct! I was disguised as: ",""
"disguise.txt",241,"npctalk","Disguise Event : Thank you all for playing. That was the last round of the Disguise Event. Come play again later.",""
"mvp_ladder.txt",16,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",17,"mes","Say... do you want to play the MvP Ladder game?",""
"mvp_ladder.txt",19,"select","Yes, let's get it on!",""
"mvp_ladder.txt",19,"select","Show me the best record.",""
"mvp_ladder.txt",23,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",24,"mes","In this game, your party has to kill every single MvP monster in ascending order, from the weakest to strongest.",""
"mvp_ladder.txt",26,"mes","If your party can finish the MVP ladder game, each member will earn ",""
"mvp_ladder.txt",28,"mes","But the entrance fee is ",""
"mvp_ladder.txt",30,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",31,"mes","You lose the game if you can't finish in ",""
"mvp_ladder.txt",31,"mes"," minutes, or if your entire party is killed.",""
"mvp_ladder.txt",32,"mes","Good luck!",""
"mvp_ladder.txt",35,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",37,"mes","Nobody has finished this game yet.",""
"mvp_ladder.txt",40,"mes","The best record is",""
"mvp_ladder.txt",41,"mes"," sec ]",""
"mvp_ladder.txt",42,"mes","By the party ^FF0000",""
"mvp_ladder.txt",42,"mes","^000000.",""
"mvp_ladder.txt",45,"mes","^000000",""
"mvp_ladder.txt",45,"mes",". ^0000FF",""
"mvp_ladder.txt",48,"select","Reset the record.",""
"mvp_ladder.txt",49,"select","Never mind.",""
"mvp_ladder.txt",49,"select","I really want to reset it.",""
"mvp_ladder.txt",53,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",54,"mes","Record reset successfully.",""
"mvp_ladder.txt",57,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",58,"mes","When you are strong enough to complete the game, please come back.",""
"mvp_ladder.txt",62,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",63,"mes","You have to form a party to play.",""
"mvp_ladder.txt",67,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",68,"mes","Only the party leader can register.",""
"mvp_ladder.txt",83,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",84,"mes","You have to form a party with exactly ",""
"mvp_ladder.txt",84,"mes"," members to play.",""
"mvp_ladder.txt",88,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",89,"mes","Your party must have ",""
"mvp_ladder.txt",89,"mes"," members online on map '",""
"mvp_ladder.txt",93,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",94,"mes","You don't have enough zeny. Please come back when you do.",""
"mvp_ladder.txt",98,"mes","[MvP Ladder Warper]",""
"mvp_ladder.txt",99,"mes","I'm sorry, but a party is currently playing the game. Please standby until the party is finished.",""
"mvp_ladder.txt",100,"mes","Thank you.",""
"mvp_ladder.txt",104,"announce","The party [",""
"mvp_ladder.txt",104,"announce","] has started the MvP ladder game.",""
"mvp_ladder.txt",111,"announce","You have ",""
"mvp_ladder.txt",111,"announce"," minutes to complete ",""
"mvp_ladder.txt",124,"mapannounce","Congratulations... You were able to defeat all the MVPs!",""
"mvp_ladder.txt",134,"mapannounce","You are rewarded a bonus item for completing the ladder within ",""
"mvp_ladder.txt",145,"mapannounce","And you broke the record! [ ",""
"mvp_ladder.txt",145,"mapannounce"," sec ]",""
"mvp_ladder.txt",151,"mapannounce","Time used [ ",""
"mvp_ladder.txt",151,"mapannounce"," sec ]",""
"mvp_ladder.txt",153,"announce","The party [",""
"mvp_ladder.txt",153,"announce","] has finished the MvP ladder game!",""
"mvp_ladder.txt",156,"announce","The party [",""
"mvp_ladder.txt",156,"announce","] has failed to finish the MvP ladder game.",""
"mvp_ladder.txt",180,"mapannounce","The final Round will begin in ",""
"mvp_ladder.txt",182,"mapannounce","Starting round ",""
"mvp_ladder.txt",187,"mapannounce"," has spawned!",""
"mvp_ladder.txt",210,"mapannounce","Party wiped!",""
"mvp_ladder.txt",313,"mapannounce","An administrator has refreshed the server. Please re-register. We apologize for the inconvenience.",""
